,Linear,Ridge,RF,XGB,NN
revenue,0.8127168587089376,0.048491224464499195,0.032059372195563055,0.016648188,0.08925578726508551
adj_close,0.09706043250502125,0.5375386117729395,0.11018780004068778,0.112166174,0.695055494594038
rev_qoq,0.5172658734869534,0.10251154015647539,0.01690325362564974,0.00784208,0.043598911385538876
rev_yoy,0.3841235751781074,0.2285512062571584,0.02278258239665435,0.040107027,0.04822759057844568
rev_accel,0.130655488330122,0.24496023033243097,0.029582059300600407,0.022455562,0.02943654556178684
vix_level,0.22143992652295819,0.1727927473984028,0.0475557769806493,0.072882354,0.10100232783561587
tnx_yield,0.2498376576971914,1.0,1.0,0.7657922,0.9471519814477044
vix_change_3m,0.005516338373549592,0.1906733768662945,0.02473633427951546,0.011649142,0.1051805999946497
tnx_change_3m,0.0610757070977423,0.24115761190996432,0.03281334152517997,0.015837535,0.1532970852579307
price_returns_1m,0.05662146885578956,0.20755005115442995,0.009330326748486115,0.007586882,0.16699799158889211
price_returns_3m,0.056621468855789066,0.20755005115442995,0.00878311088613869,0.020606775,0.06784764520412927
price_returns_6m,0.3572135444233032,0.47657105798043636,0.035115704877139074,0.07394365,0.04044006633045128
price_returns_12m,0.0644449029359278,0.3071204607955081,0.05688116390928393,0.2645981,0.04606981960879984
price_momentum,0.05674815052844892,0.20801441190257888,0.008501263349995741,3.8371058e-05,0.04997661514869587
price_volatility,0.19669852829817594,0.1388003109988138,0.09249382409457907,0.07207524,0.11405326781264007
price_ma_4q,0.21024243324948855,0.5030027595791216,0.3899708012349367,1.0,0.7839532389899639
price_to_ma_4q,0.21188085340691,0.4170072617617492,0.0719941471987397,0.009774763,0.7575349083573583
quarter,1.0,0.0026948367108938793,0.009775805377041681,0.00038570454,0.07667340385659935
month,0.9700467379624063,0.24632350546960888,0.018157436448928237,0.0005376529,0.18640026276842062
year,0.26662300725661203,0.9237602531356871,0.13478249981834647,0.21013741,0.9831226572433927
days_since_start,0.1871361539544504,0.9240916764650987,0.502160161962975,0.64590746,1.0
ix_vix_level__rev_yoy,0.37140829220838395,0.11199916509410535,0.03776187746281383,0.016332231,0.0
ix_vix_level__rev_qoq,0.13481895692416634,0.21131516665241276,0.024476946930175485,0.020250784,0.26134066924399774
ix_vix_level__rev_accel,0.3770518836963315,0.10243735720273506,0.05781277915141172,0.0656434,0.0037460768338964884
ix_vix_level__revenue,0.5552272086165748,0.10580907961748932,0.038255515084833304,0.016343862,0.1045288121965346
ix_vix_level__price_returns_1m,0.46590429034499686,0.0428913816738947,0.021111595212848177,0.01443775,0.016061196674112686
ix_vix_level__price_returns_3m,0.4659042903449992,0.0428913816738947,0.015148925798025042,0.0032876378,0.0557970349808923
ix_vix_level__price_returns_6m,0.1157170673294676,0.216244688844728,0.047183959147772084,0.010115609,0.0
ix_vix_level__price_returns_12m,0.6769656426953028,0.20003701889188868,0.08793119988461097,0.29288125,0.14355610881589065
ix_vix_level__price_momentum,0.4661137311217794,0.042910662896414806,0.021533998868165868,0.0,0.01775465364149442
ix_vix_level__price_volatility,0.17376707223386104,0.2035300579415177,0.08646859611566154,0.09223875,0.08205538025195842
ix_tnx_yield__rev_yoy,0.09262654798317106,0.2645068166690197,0.04450835485624203,0.056054637,0.007168386938471306
ix_tnx_yield__rev_qoq,0.6150889316247314,0.029270618656131765,0.017208110324604547,0.06260873,0.15404529746559592
ix_tnx_yield__rev_accel,0.438079984118379,0.22532960376305722,0.036200108344816566,0.053715248,0.10513812726114478
ix_tnx_yield__revenue,0.29607366717517986,0.26435130870222495,0.02173357473091677,0.0048315017,0.06154406148329806
ix_tnx_yield__price_returns_1m,0.3255331426497993,0.0695330641229438,0.011833450519254623,0.011546129,0.011197856318063268
ix_tnx_yield__price_returns_3m,0.32553314264979977,0.0695330641229438,0.018315690154457418,0.02269603,0.30740478500009244
ix_tnx_yield__price_returns_6m,0.34358251734058765,0.050872292558447,0.04021309884781818,0.0041464083,0.020983240597535296
ix_tnx_yield__price_returns_12m,0.5489681292236779,0.19091808327409024,0.0421225809617388,0.12540516,0.024313147118080664
ix_tnx_yield__price_momentum,0.3257236299816455,0.0695737517400413,0.01630346763912542,0.0001754806,0.11802416989822789
ix_tnx_yield__price_volatility,0.3583039424426926,0.4849952274585729,0.1914027783462919,0.1298751,0.06970018282635057
ix_vix_change_3m__rev_yoy,0.09545394719734765,0.03674233734792609,0.03641696325424397,0.013911446,0.03135093126303897
ix_vix_change_3m__rev_qoq,0.1262748368959483,0.722696213249284,0.08181082686825404,0.041761108,0.44465651719369015
ix_vix_change_3m__rev_accel,0.13782047749610418,0.020374081820625424,0.043456496442603576,0.014876226,0.09869393574854042
ix_vix_change_3m__revenue,0.06534973358586356,0.020566820106189005,0.05400728301158949,0.18145978,0.20284790562796318
ix_vix_change_3m__price_returns_1m,0.1663642874135401,0.02739376468865676,0.02135365600189969,0.004977698,0.07216008289048619
