,Linear,Ridge,RF,XGB,NN
future_12m_logprice,0.7703583407895216,1.0,0.392530424329945,0.35269806,0.4302572179721039
adj_close,0.8867090596360081,0.4921332354490375,0.11789740794326807,0.14029339,1.0
tnx_yield,0.15159701696518116,0.07546112116822416,1.0,0.54996467,0.5855768922681528
price_ma_4q,1.0,0.5651358438948337,0.2978338040107982,0.30594498,0.06224195558896766
future_12m_price,0.5725313164260558,0.07499591087425365,0.3810903481531516,0.7322062,0.008758690936166734
ix_tnx_change_3m__price_returns_6m,0.1400586644667138,0.03335276271110548,0.4863056294065822,1.0,0.009439608957003872
price_volatility,0.2386871806775887,0.16180895660099728,0.08871539625426825,0.17482702,0.5217842458029764
ix_vix_level__price_returns_12m,0.6652197629229941,0.15609068882031935,0.06651225746376324,0.18532446,0.09239043824435957
ix_vix_level__revenue,0.6475111712112092,0.12607519788674523,0.04721680506698639,0.09445994,0.20713394366256804
ix_tnx_change_3m__rev_accel,0.7061571813425752,0.09336206126553193,0.05856687870367536,0.021541717,0.2298102708424715
ix_vix_change_3m__price_returns_6m,0.598144564718314,0.22715583716429055,0.1467610998071262,0.07576417,0.0
year,0.03145658869680272,0.07706022120994982,0.08257794492421588,0.0,0.8047887067955516
ix_vix_change_3m__price_returns_12m,0.4151409696622253,0.20740211793377983,0.029035097605342015,0.07610798,0.21867032083148857
rev_accel,0.6576884173898422,0.06897026683000425,0.027663644533501442,0.071094766,0.019282686114432422
price_returns_12m,0.5593061775845528,0.021490083233684103,0.05260954150759369,0.13352005,0.06831656434884657
ix_vix_level__rev_qoq,0.3911169827728002,0.12059878006010574,0.017092635895969332,0.011423065,0.2809351446521731
ix_tnx_yield__price_volatility,0.11665931791824291,0.06836483698053844,0.20030556807870561,0.15377073,0.2603544637079518
ix_vix_level__price_volatility,0.48008915642415534,0.15188700180540204,0.08474723784960841,0.01425799,0.022272960599176633
ix_tnx_yield__rev_qoq,0.624664339479643,0.008910173611845217,0.0169860953370965,0.00046286095,0.0810238428753364
ix_tnx_yield__price_returns_12m,0.2343387219059873,0.24063145457982524,0.02989464854043567,0.055044953,0.16903889453190113
price_to_ma_4q,0.4485489111860075,0.17463972011504597,0.06612433419417668,0.0013807152,0.037109682439315166
days_since_start,0.00402359505750945,0.06521929190101955,0.22386043270292863,0.0071417443,0.4111512370165736
ix_vix_change_3m__price_volatility,0.3720424040428591,0.005597565948107646,0.042856643042262034,0.08796217,0.2027346308982447
ix_vix_change_3m__rev_qoq,0.06892631223506915,0.15575435235979404,0.07904538653476059,0.03997212,0.36348159826912085
rev_yoy,0.48685520624834416,0.09314552201385533,0.02336275872912375,0.065189965,0.026094922186080036
quarter,0.3051811856643085,0.18512230995675966,0.011809887253956236,0.024943097,0.1523625806946158
ix_tnx_change_3m__revenue,0.25540825558156716,0.03328029660324452,0.057394838616649124,0.05073681,0.2435146345914268
month,0.3504561403858663,0.2162888727789348,0.01628680513190272,0.004258081,0.02933904539689569
ix_vix_level__rev_accel,0.4373657895275513,0.07243764060312372,0.033904444955758686,0.022273848,0.03721427051354249
ix_tnx_change_3m__rev_qoq,0.4577987586298943,0.03639678192091202,0.022833872412031976,0.002878677,0.034429949204652865
vix_change_3m,0.21767090376577022,0.10686966909053768,0.02746048482268547,0.007017733,0.18107249077905546
ix_tnx_change_3m__price_returns_1m,0.21404841070841285,0.01675301388406028,0.06676256752974011,0.11526594,0.11132932992585369
ix_tnx_yield__rev_yoy,0.3510736937191106,0.07798965590421317,0.04725580840963752,0.0011509995,0.04499477542435687
ix_tnx_yield__revenue,0.3079541422027806,0.0688336440037777,0.03504483834008961,0.022204408,0.0816850060773677
tnx_change_3m,0.24246743683546068,0.052631808970931164,0.031184945968653545,0.019013733,0.1343066539246324
ix_vix_level__price_returns_3m,0.3978264824088374,0.00536737389118205,0.012869160650903233,1.7615737e-05,0.05055207923937072
ix_vix_level__price_momentum,0.3980053197563926,0.005369786719267787,0.017032858342509574,0.0,0.03903471932056116
rev_qoq,0.327244821536765,0.07003360811813125,0.01565391782882641,0.00888799,0.02021267694513994
ix_vix_level__price_returns_1m,0.39782648240883706,0.00536737389118205,0.01897744933108754,0.015417931,0.0014800091436357801
ix_tnx_yield__price_momentum,0.19836471669622027,0.11137706834098594,0.014019051772471541,0.0,0.11440060869566035
ix_tnx_change_3m__price_returns_12m,0.19981919414618202,0.1520976288743904,0.03360975270737401,0.028081687,0.0
ix_tnx_yield__price_returns_1m,0.19824871048071027,0.11131193361133895,0.011714042249886024,0.0004855839,0.08756793153665578
ix_vix_level__rev_yoy,0.2263902075670976,0.012921921584949576,0.04305179199476866,0.088669814,0.03572620219936821
ix_tnx_change_3m__rev_yoy,0.32951657253245303,0.012556818818162731,0.02872304932157392,0.005938873,0.020080570425084564
ix_tnx_yield__price_returns_6m,0.07102455001288079,0.2695513324478731,0.03317058099340037,0.017804528,0.0
revenue,0.0485788582480622,0.06363740525987752,0.02011244180420817,0.011041203,0.2294433361380161
ix_vix_change_3m__revenue,0.20344933699029805,0.05417176564988484,0.033857366973568136,0.013845725,0.067081272816592
ix_tnx_change_3m__price_volatility,0.22650559814872706,0.026359190564191726,0.039425516742981274,0.005521523,0.05970681269123061
vix_level,0.1487974817903213,0.08226080726185732,0.032126811564194675,0.090745814,0.0
ix_tnx_yield__rev_accel,0.09859784128035935,0.0895368242379398,0.04188167705579969,0.03960014,0.07927501205257148
