feature,mdi_importance,perm_importance_mean,perm_importance_std,mean_abs_shap,rank_mdi,rank_perm,rank_shap,rank_avg
ix_vix_change_3m__price_returns_6m,0.04180340674677658,0.025188088334672343,0.032442679333980644,0.03287126808330305,5.0,1.0,6.0,4.0
ix_vix_change_3m__revenue,0.009203521256795294,0.02065050389931918,0.019144266507146523,0.020579568464307665,26.0,2.0,9.0,12.333333333333334
days_since_start,0.12107571330861323,4.366877230192282e-16,1.3425081155809763e-16,0.11033125386623449,3.0,31.0,3.0,12.333333333333334
adj_close,0.04967448345230575,4.736951571734001e-16,9.478527943911129e-17,0.06610636159887218,4.0,29.0,4.0,12.333333333333334
ix_vix_level__rev_yoy,0.008785470829321518,0.01973085583450015,0.009606380671709849,0.01675006116725554,30.0,3.0,12.0,15.0
ix_vix_level__price_volatility,0.01636544265133716,0.0019400826906900445,0.003616112086250242,0.012710743105436966,11.0,20.0,14.0,15.0
tnx_yield,0.13030322584516144,-0.0015889450178759941,0.0011390150957361481,0.20044783830521345,2.0,44.0,1.0,15.666666666666666
year,0.02999655184583357,4.440892098500626e-16,9.930136612989092e-17,0.01305563779304509,7.0,30.0,13.0,16.666666666666668
ix_vix_change_3m__rev_qoq,0.010302397472358117,0.011019657492287178,0.00838126485542026,0.0063428440260436675,17.0,7.0,28.0,17.333333333333332
ix_tnx_change_3m__price_returns_12m,0.007500963861407352,0.01549112899539414,0.01440794249703253,0.010763833528849385,33.0,5.0,17.0,18.333333333333332
ix_tnx_yield__revenue,0.010163940391557791,4.366877230192282e-16,1.3425081155809763e-16,0.025656358178687475,18.0,31.0,8.0,19.0
price_returns_12m,0.009607630544475654,0.006167228644528225,0.006639599791796942,0.006292543329329775,19.0,11.0,29.0,19.666666666666668
ix_tnx_yield__rev_yoy,0.005754347217166619,0.016140908160408415,0.008901834426710662,0.011627453821986794,41.0,4.0,16.0,20.333333333333332
ix_tnx_change_3m__price_returns_6m,0.14624797095189862,-0.06600591500648327,0.09571129601175332,0.11366235541248107,1.0,61.0,2.0,21.333333333333332
tnx_change_3m,0.009249582110631791,0.0021245201564514,0.0073859755646844254,0.008509343146675214,25.0,19.0,23.0,22.333333333333332
ix_tnx_change_3m__price_momentum,0.008481463877062098,0.0025087236626930576,0.0065795749242061,0.008809541411885958,31.0,16.0,21.0,22.666666666666668
ix_vix_change_3m__price_volatility,0.009323624013537802,0.008932265235155461,0.008856621134823963,0.004612666675066197,24.0,8.0,37.0,23.0
price_ma_4q,0.04101323801675317,4.366877230192282e-16,9.034666063970042e-17,0.005061708945081806,6.0,31.0,35.0,24.0
ix_tnx_change_3m__revenue,0.0255471566880311,-0.020558379494690592,0.05450960143510468,0.04529638357173735,8.0,60.0,5.0,24.333333333333332
ix_tnx_yield__price_volatility,0.022347185776625766,-0.015567624978750283,0.01607795640554245,0.028047384157677855,9.0,59.0,7.0,25.0
rev_yoy,0.004717738171813786,0.01464060953450835,0.005860892854435613,0.008688743757140316,48.0,6.0,22.0,25.333333333333332
