feature,mdi_z,perm_z,shap_z,aggregate_score,rank
ix_tnx_change_3m__price_returns_6m,7.298531841733529,-5.390504872972466,6.187764334850468,2.6985971012038434,1
ix_vix_change_3m__price_returns_6m,2.127866543654898,3.9744406150116083,1.852482673023681,2.6515966105633955,2
days_since_start,2.423128280314475,-0.1018460638887743,3.110954994779653,1.8107457370684512,3
ix_tnx_yield__rev_yoy,0.2679177197391523,2.4431056210381916,1.0387388501353847,1.249920730304243,4
ix_vix_level__rev_yoy,0.1382514998610596,2.4867083829409786,0.7226130606141855,1.1158576478054079,5
rev_yoy,0.01278583873013509,2.3685905976939114,0.5095550694107861,0.9636438352782776,6
ix_tnx_yield__capex_ttm,1.0603276119186649,-0.10184606388877424,1.8599375257287303,0.939473024586207,7
ix_vix_change_3m__rev_accel,0.45687740158508733,0.9047859175508298,0.5805295825415795,0.6473976338924988,8
ocf_ttm,0.034572694808305236,1.2543469402154266,0.1444170503399379,0.4777788951212232,9
ix_vix_level__price_returns_12m,0.6153432686595692,-0.6893337319409811,1.477638239139529,0.4678825919527057,10
