feature,perm_importance_mean,perm_importance_std
ix_vix_change_3m__price_returns_6m,0.058760306430506476,0.0009849074151542204
ix_vix_level__rev_yoy,0.03731441492942253,7.309384058506509e-06
ix_tnx_yield__rev_yoy,0.03668587433538478,0.0016278149462944712
rev_yoy,0.035611728685116785,0.013092999214070533
ocf_ttm,0.019549733072642836,0.0040385185272086895
ix_vix_change_3m__rev_accel,0.014510756566340327,0.005283788243662232
ix_vix_level__ocf_ttm,0.014291594787118016,0.0011597441218576291
ix_tnx_change_3m__ocf_ttm,0.013990100007985505,0.0053940270331931895
ix_vix_change_3m__ocf_ttm,0.01315970961956801,0.00330824622477202
ix_vix_change_3m__fcf_ttm,0.01178289657165775,0.0013589513643269254
ix_vix_change_3m__revenue,0.009639943848669986,0.0006891856231903527
ix_tnx_change_3m__rev_yoy,0.004419262823233536,0.005655083539299502
ix_vix_change_3m__price_volatility,0.004305369562430094,0.009108486553348621
ix_vix_level__fcf_ttm,0.004001779138069012,0.0007874637838704617
ix_vix_change_3m__price_returns_12m,0.0039195030369549525,0.002072040128090701
ix_vix_change_3m__capex_ttm,0.003765066939181119,0.0003526294991377223
vix_change_3m,0.003756236172354199,0.00245864077430095
ix_tnx_change_3m__rev_qoq,0.0026962800620926233,0.0029550568213552856
vix_level,0.0024914567353007534,0.006810177996256503
ix_tnx_yield__ocf_ttm,0.0023547504839181834,1.3030348571591578e-16
ix_tnx_yield__price_momentum,0.0020345533462005016,1.3557000588804725e-16
fcf_ttm,0.00200810115881611,0.015226345313550913
quarter,0.001816910861496468,0.002685706484828687
capex_ttm,0.0016347775405707043,0.0024069490334473202
price_returns_1m,0.001354442515530222,0.0028780721912405084
month,0.0013114242049760971,0.0021780723338372106
ix_vix_level__price_returns_1m,0.0010769194677519001,0.0013652175708971164
ix_tnx_yield__rev_qoq,0.0010196896761416085,0.005035779817489002
ix_vix_change_3m__rev_yoy,0.0006721931972421525,0.038531705536025175
price_returns_3m,0.0006608546568857266,0.001434200093976105
price_ma_4q,0.0005364845884255165,0.001087828560627141
price_volatility,0.0003692194281102734,0.017299727258693602
ix_tnx_yield__price_returns_1m,0.0002582718014908558,0.004221322522947982
ix_tnx_change_3m__price_returns_3m,0.00022765608808387628,0.0036911767175651536
price_to_ma_4q,0.00015229601646443602,0.001235437369896649
ix_tnx_yield__price_returns_3m,0.00014183492883655723,0.0006654536508318045
ix_vix_level__capex_ttm,0.0001365791460554755,0.0016390625763875242
ix_vix_level__price_momentum,0.0001136742707753513,0.003553840041199706
ix_vix_change_3m__price_returns_1m,6.610001013080624e-05,0.008281633149388934
price_momentum,3.0588447737404104e-05,0.0017779474389164691
ix_vix_level__price_volatility,6.5360551481841165e-06,0.0033516997006266687
adj_close,2.1554197678486097e-06,0.01936840991144307
year,9.43689570931383e-17,0.003501637557540104
ix_tnx_yield__capex_ttm,9.325873406851315e-17,0.02499447675355495
days_since_start,9.214851104388799e-17,0.0073135992684949455
ix_tnx_yield__fcf_ttm,-0.00021878997295498136,0.001851268018492324
ix_tnx_yield__price_returns_6m,-0.0003117444857923524,0.0036745924891372814
ix_tnx_change_3m__price_momentum,-0.0005933985009589216,0.04852103031750153
revenue,-0.0006066736534631823,0.009959877089367143
ix_tnx_change_3m__price_returns_1m,-0.0006545933166142903,0.004048168993883776
rev_qoq,-0.0012041277605541766,0.005266689696312976
ix_vix_level__price_returns_3m,-0.0012722132500508799,0.002657365355263973
tnx_yield,-0.0012835571302296,0.0024706841101661725
ix_tnx_yield__rev_accel,-0.0013537975310614746,0.013786723697845895
ix_tnx_yield__price_volatility,-0.0017882860068239915,0.03334980824049088
ix_tnx_yield__revenue,-0.0023279285862812128,0.007934253603479971
ix_tnx_yield__price_returns_12m,-0.002627960207360528,0.011150360844513721
rev_accel,-0.002769142302457169,0.1145763601537935
ix_vix_change_3m__rev_qoq,-0.0029016029637556283,0.020039641056460895
ix_vix_level__rev_qoq,-0.0029203312654991244,0.009871065371646665
ix_tnx_change_3m__price_volatility,-0.003117761474116627,0.006483741355245387
ix_tnx_change_3m__fcf_ttm,-0.0033730161935779266,0.010958363592490623
ix_vix_level__rev_accel,-0.0035997425161529294,0.002340220968555672
price_returns_12m,-0.003929672900086856,0.0016915472131465061
ix_vix_level__price_returns_6m,-0.004945209499147063,0.0047085236084232936
ix_vix_level__revenue,-0.005093667136772354,1.357199400858644e-16
tnx_change_3m,-0.005207179766559187,0.0014690316433711545
ix_vix_change_3m__price_momentum,-0.005699117641370824,0.007986408018901457
ix_vix_change_3m__price_returns_3m,-0.005819412346954445,0.016563831212776766
price_returns_6m,-0.006112210697643492,0.014006558521639652
ix_tnx_change_3m__rev_accel,-0.006268558997636918,0.008145765301830636
ix_vix_level__price_returns_12m,-0.008468726102503486,0.00022453005750878245
ix_tnx_change_3m__revenue,-0.01200676896744405,0.002763048405500854
ix_tnx_change_3m__capex_ttm,-0.012471506173141696,0.007395915938727692
ix_tnx_change_3m__price_returns_12m,-0.01587684942602488,0.007784820318384605
ix_tnx_change_3m__price_returns_6m,-0.07623683923820236,0.009710198923641554
